ts,cmd_idx,id,mode,goal,actual
1775156530.4726381,0,1.0,3.0,0.0,3.5987188816070557
1775156530.4726381,0,2.0,3.0,0.0,5.916563987731934
1775156530.4726381,0,3.0,3.0,0.0,2.9513790607452393
1775156530.4726381,0,4.0,3.0,0.0,1.8545827865600586
1775156965.8714762,0,1.0,3.0,0.0,3.5987188816070557
1775156965.8714762,0,2.0,3.0,0.0,5.971786975860596
1775156965.8714762,0,3.0,3.0,0.0,2.9513790607452393
1775156965.8714762,0,4.0,3.0,0.0,1.8545827865600586
1775156971.8547618,0,1.0,3.0,0.0,3.5987188816070557
1775156971.8547618,0,2.0,3.0,0.0,5.971786975860596
1775156971.8547618,0,3.0,3.0,0.0,2.9513790607452393
1775156971.8547618,0,4.0,3.0,0.0,1.8545827865600586
