ts,cmd_idx,id,mode,goal,actual
1775157701.7854981,0,1.0,3.0,0.0,3.5987188816070557
1775157701.7854981,0,2.0,3.0,0.0,3.140058755874634
1775157701.7854981,0,3.0,3.0,0.0,2.9483110904693604
1775157701.7854981,0,4.0,3.0,0.0,1.859184741973877
1775157709.6001003,0,1.0,3.0,0.0,3.600252866744995
1775157709.6001003,0,2.0,3.0,0.0,3.140058755874634
1775157709.6001003,0,3.0,3.0,0.0,2.9483110904693604
1775157709.6001003,0,4.0,3.0,0.0,1.859184741973877
1775157722.5016181,0,1.0,3.0,0.0,3.5680394172668457
1775157722.5016181,0,2.0,3.0,0.0,3.140058755874634
1775157722.5016181,0,3.0,3.0,0.0,2.9483110904693604
1775157722.5016181,0,4.0,3.0,0.0,1.859184741973877
1775157743.59146,0,1.0,3.0,0.0,2.0202527046203613
1775157743.59146,0,2.0,3.0,0.0,3.1385247707366943
1775157743.59146,0,3.0,3.0,0.0,2.9483110904693604
1775157743.59146,0,4.0,3.0,0.0,1.859184741973877
1775157749.0002797,0,1.0,3.0,0.0,3.130854845046997
1775157749.0002797,0,2.0,3.0,0.0,3.140058755874634
1775157749.0002797,0,3.0,3.0,0.0,2.9483110904693604
1775157749.0002797,0,4.0,3.0,0.0,1.859184741973877
1775157764.674886,0,1.0,3.0,0.0,2.998932361602783
1775157764.674886,0,2.0,3.0,0.0,3.140058755874634
1775157764.674886,0,3.0,3.0,0.0,2.9483110904693604
1775157764.674886,0,4.0,3.0,0.0,1.8607187271118164
1775157770.2184966,0,1.0,3.0,0.0,3.028078079223633
1775157770.2184966,0,2.0,3.0,0.0,3.140058755874634
1775157770.2184966,0,3.0,3.0,0.0,2.9483110904693604
1775157770.2184966,0,4.0,3.0,0.0,1.8607187271118164
1775157774.30342,0,1.0,3.0,0.0,3.4223110675811768
1775157774.30342,0,2.0,3.0,0.0,3.140058755874634
1775157774.30342,0,3.0,3.0,0.0,2.946777105331421
1775157774.30342,0,4.0,3.0,0.0,1.8607187271118164
1775157779.7541716,0,1.0,3.0,0.0,3.6079227924346924
1775157779.7541716,0,2.0,3.0,0.0,3.1415927410125732
1775157779.7541716,0,3.0,3.0,0.0,2.9483110904693604
1775157779.7541716,0,4.0,3.0,0.0,1.859184741973877
1775157802.375254,0,1.0,3.0,0.0,3.678485870361328
1775157802.375254,0,2.0,3.0,0.0,3.1415927410125732
1775157802.375254,0,3.0,3.0,0.0,2.9483110904693604
1775157802.375254,0,4.0,3.0,0.0,1.8607187271118164
1775157812.678494,0,1.0,3.0,0.0,4.026699542999268
1775157812.678494,0,2.0,3.0,0.0,3.140058755874634
1775157812.678494,0,3.0,3.0,0.0,2.946777105331421
1775157812.678494,0,4.0,3.0,0.0,1.859184741973877
1775157820.519206,0,1.0,3.0,0.0,6.2463698387146
1775157820.519206,0,2.0,3.0,0.0,3.1354568004608154
1775157820.519206,0,3.0,3.0,0.0,2.9483110904693604
1775157820.519206,0,4.0,3.0,0.0,1.859184741973877
1775157826.9184885,0,1.0,3.0,0.0,1.9742332696914673
1775157826.9184885,0,2.0,3.0,0.0,3.136990785598755
1775157826.9184885,0,3.0,3.0,0.0,2.9483110904693604
1775157826.9184885,0,4.0,3.0,0.0,1.859184741973877
1775157831.5042207,0,1.0,3.0,0.0,1.4710875749588013
1775157831.5042207,0,2.0,3.0,0.0,3.1354568004608154
1775157831.5042207,0,3.0,3.0,0.0,2.9483110904693604
1775157831.5042207,0,4.0,3.0,0.0,1.859184741973877
1775157836.8752465,0,1.0,3.0,0.0,0.9740778207778931
1775157836.8752465,0,2.0,3.0,0.0,3.1354568004608154
1775157836.8752465,0,3.0,3.0,0.0,2.946777105331421
1775157836.8752465,0,4.0,3.0,0.0,1.859184741973877
1775157842.7559834,0,1.0,3.0,0.0,0.029145635664463043
1775157842.7559834,0,2.0,3.0,0.0,3.1354568004608154
1775157842.7559834,0,3.0,3.0,0.0,2.9483110904693604
1775157842.7559834,0,4.0,3.0,0.0,1.859184741973877
1775157870.1582181,0,1.0,3.0,0.0,0.5016117095947266
1775157870.1582181,0,2.0,3.0,0.0,3.201417922973633
1775157870.1582181,0,3.0,3.0,0.0,2.9483110904693604
1775157870.1582181,0,4.0,3.0,0.0,1.859184741973877
1775157874.5249104,0,1.0,3.0,0.0,0.5016117095947266
1775157874.5249104,0,2.0,3.0,0.0,3.7337093353271484
1775157874.5249104,0,3.0,3.0,0.0,2.9483110904693604
1775157874.5249104,0,4.0,3.0,0.0,1.859184741973877
1775157880.1448472,0,1.0,3.0,0.0,0.5016117095947266
1775157880.1448472,0,2.0,3.0,0.0,3.4039032459259033
1775157880.1448472,0,3.0,3.0,0.0,2.946777105331421
1775157880.1448472,0,4.0,3.0,0.0,1.859184741973877
1775157905.421593,0,1.0,3.0,0.0,0.5000777244567871
1775157905.421593,0,2.0,3.0,0.0,3.4422528743743896
1775157905.421593,0,3.0,3.0,0.0,2.946777105331421
1775157905.421593,0,4.0,3.0,0.0,1.859184741973877
1775157911.5102954,0,1.0,3.0,0.0,0.5000777244567871
1775157911.5102954,0,2.0,3.0,0.0,4.131010055541992
1775157911.5102954,0,3.0,3.0,0.0,2.9483110904693604
1775157911.5102954,0,4.0,3.0,0.0,1.859184741973877
1775157917.266994,0,1.0,3.0,0.0,0.5000777244567871
1775157917.266994,0,2.0,3.0,0.0,4.8795928955078125
1775157917.266994,0,3.0,3.0,0.0,2.9483110904693604
1775157917.266994,0,4.0,3.0,0.0,1.859184741973877
1775157925.5865052,0,1.0,3.0,0.0,0.5000777244567871
1775157925.5865052,0,2.0,3.0,0.0,4.835107326507568
1775157925.5865052,0,3.0,3.0,0.0,2.9483110904693604
1775157925.5865052,0,4.0,3.0,0.0,1.8607187271118164
1775157934.6822112,0,1.0,3.0,0.0,0.5016117095947266
1775157934.6822112,0,2.0,3.0,0.0,4.868854999542236
1775157934.6822112,0,3.0,3.0,0.0,2.946777105331421
1775157934.6822112,0,4.0,3.0,0.0,1.859184741973877
1775157948.6126702,0,1.0,3.0,0.0,0.5000777244567871
1775157948.6126702,0,2.0,3.0,0.0,4.8596510887146
1775157948.6126702,0,3.0,3.0,0.0,2.9483110904693604
1775157948.6126702,0,4.0,3.0,0.0,1.859184741973877
1775157954.4419641,0,1.0,3.0,0.0,0.5016117095947266
1775157954.4419641,0,2.0,3.0,0.0,4.867321014404297
1775157954.4419641,0,3.0,3.0,0.0,2.9483110904693604
1775157954.4419641,0,4.0,3.0,0.0,1.859184741973877
1775157974.9336498,0,1.0,3.0,0.0,0.5000777244567871
1775157974.9336498,0,2.0,3.0,0.0,4.7568745613098145
1775157974.9336498,0,3.0,3.0,0.0,2.9483110904693604
1775157974.9336498,0,4.0,3.0,0.0,1.859184741973877
1775157979.4287612,0,1.0,3.0,0.0,0.49854376912117004
1775157979.4287612,0,2.0,3.0,0.0,2.7320196628570557
1775157979.4287612,0,3.0,3.0,0.0,2.9483110904693604
1775157979.4287612,0,4.0,3.0,0.0,1.859184741973877
1775157984.6654906,0,1.0,3.0,0.0,0.4970097839832306
1775157984.6654906,0,2.0,3.0,0.0,1.7272623777389526
1775157984.6654906,0,3.0,3.0,0.0,2.9483110904693604
1775157984.6654906,0,4.0,3.0,0.0,1.859184741973877
1775157989.207355,0,1.0,3.0,0.0,0.4970097839832306
