Bag_Time,M1_ID,M1_Mode,M1_Pos_rad,M1_Vel_rads,M1_Curr_Amps,M1_Volt,M2_ID,M2_Mode,M2_Pos_rad,M2_Vel_rads,M2_Curr_Amps,M2_Volt
1776139364.6804042,1.0,3.0,3.650874376296997,0.0,-0.003000000026077032,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.6963997,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.7125676,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.7284148,1.0,3.0,3.6493403911590576,0.0,-0.003000000026077032,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.7443123,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.7603264,1.0,3.0,3.650874376296997,0.0,-0.003000000026077032,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.7762005,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.003000000026077032,12.0
1776139364.7922459,1.0,3.0,3.6493403911590576,0.0,-0.003000000026077032,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.8082466,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.8243074,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004999999888241291,12.0
1776139364.8405597,1.0,3.0,3.650874376296997,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004999999888241291,12.0
1776139364.8562799,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.8722534,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.8883407,1.0,3.0,3.650874376296997,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.904378,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.9202905,1.0,3.0,3.6493403911590576,0.0,-0.003000000026077032,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.9361928,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.9523067,1.0,3.0,3.650874376296997,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.968329,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139364.9841716,1.0,3.0,3.650874376296997,0.0,-0.0010000000474974513,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.0002403,1.0,3.0,3.650874376296997,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.0162675,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.0323815,1.0,3.0,3.650874376296997,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004999999888241291,12.0
1776139365.0482838,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004999999888241291,12.0
1776139365.064301,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.0803053,1.0,3.0,3.6493403911590576,0.0,-0.003000000026077032,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.0962305,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.003000000026077032,12.0
1776139365.1123817,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.1283536,1.0,3.0,3.650874376296997,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.1441436,1.0,3.0,3.6493403911590576,0.0,-0.003000000026077032,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.160343,1.0,3.0,3.650874376296997,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.003000000026077032,12.0
1776139365.1763024,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.192392,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.2081003,1.0,3.0,3.6493403911590576,0.0,-0.003000000026077032,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.2242877,1.0,3.0,3.650874376296997,0.0,-0.003000000026077032,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.240384,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.256129,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.2723274,1.0,3.0,3.650874376296997,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004999999888241291,12.0
1776139365.2885022,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.304386,1.0,3.0,3.6493403911590576,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004999999888241291,12.0
1776139365.3201876,1.0,3.0,3.650874376296997,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
1776139365.3363817,1.0,3.0,3.650874376296997,0.0,-0.0020000000949949026,12.199999809265137,2.0,3.0,3.3026607036590576,0.0,-0.004000000189989805,12.0
