Bag_Time,Cmd_ID,Controller_Time,M1_Goal,M1_Pos,M1_Error,M1_Vel,M1_Curr,M1_Volt,M2_Goal,M2_Pos,M2_Error,M2_Vel,M2_Curr,M2_Volt,M3_Goal,M3_Pos,M3_Error,M3_Vel,M3_Curr,M3_Volt,M4_Goal,M4_Pos,M4_Error,M4_Vel,M4_Curr,M4_Volt
1776139367.7102423,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.711842,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.712526,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.713565,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.714529,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.7155225,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.7165208,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.7175384,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.7185051,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.719552,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.7301335,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.7315621,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.7325466,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.7335637,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.7345428,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.7355556,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.8092315,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.8106642,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.8115427,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.8125513,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.8136067,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.8145945,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.815592,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.8968916,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.8977108,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.8989017,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.8999212,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
1776139367.9010215,0.0,1776139392.0,3.6500000953674316,3.6493403911590576,0.0006597042083740234,0.0,-0.0020000000949949026,12.100000381469727,3.299999952316284,3.3026607036590576,-0.0026607513427734375,0.0,-0.004000000189989805,12.0,2.950000047683716,0.0,2.950000047683716,0.0,0.0,0.0,1.8600000143051147,0.0,1.8600000143051147,0.0,0.0,0.0
